network_definition,setting,evidence_view,physical_level,physical_projection_setting,rank_corr_dominant_support,rank_corr_effective_num,target_quadrant_jaccard,target_quadrant_recall,quadrant_agreement_rate,interpretation
as_egress_primary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.6428571428571429,0.75,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
as_egress_primary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.6428571428571429,0.75,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
as_egress_primary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.6428571428571429,0.75,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
as_egress_primary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.5,0.5833333333333334,0.8023255813953488,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
as_only,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9090909090909091,0.9090909090909091,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
as_only,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
as_only,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
as_only,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,0.9090909090909091,0.9090909090909091,0.9883720930232558,tests whether mismatch persists under high-confidence observations
as_only,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.5,0.6363636363636364,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
as_only,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.5714285714285714,0.7272727272727273,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
as_only,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.5714285714285714,0.7272727272727273,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
as_only,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.5,0.6363636363636364,0.813953488372093,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
as_pair_primary,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9090909090909091,0.9090909090909091,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
as_pair_primary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
as_pair_primary,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
as_pair_primary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,0.9090909090909091,0.9090909090909091,0.9883720930232558,tests whether mismatch persists under high-confidence observations
as_pair_primary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.5,0.6363636363636364,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
as_pair_primary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.5714285714285714,0.7272727272727273,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
as_pair_primary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.5714285714285714,0.7272727272727273,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
as_pair_primary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.5,0.6363636363636364,0.813953488372093,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
combined_supplementary,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9090909090909091,0.9090909090909091,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
combined_supplementary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
combined_supplementary,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
combined_supplementary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,1.0,1.0,0.9883720930232558,tests whether mismatch persists under high-confidence observations
combined_supplementary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.4666666666666667,0.6363636363636364,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
combined_supplementary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.4666666666666667,0.6363636363636364,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
combined_supplementary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.4666666666666667,0.6363636363636364,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
combined_supplementary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.42857142857142855,0.5454545454545454,0.813953488372093,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
composite,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9090909090909091,0.9090909090909091,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
composite,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
composite,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
composite,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,1.0,1.0,0.9883720930232558,tests whether mismatch persists under high-confidence observations
composite,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.4666666666666667,0.6363636363636364,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
composite,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.4666666666666667,0.6363636363636364,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
composite,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.4666666666666667,0.6363636363636364,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
composite,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.42857142857142855,0.5454545454545454,0.813953488372093,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
country_only,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9285714285714286,0.9285714285714286,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
country_only,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
country_only,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
country_only,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,1.0,1.0,0.9883720930232558,tests whether mismatch persists under high-confidence observations
country_only,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.6111111111111112,0.7857142857142857,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
country_only,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.6666666666666666,0.8571428571428571,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
country_only,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.6666666666666666,0.8571428571428571,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
country_only,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.6111111111111112,0.7857142857142857,0.8023255813953488,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
dst_asn_primary,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9090909090909091,0.9090909090909091,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
dst_asn_primary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
dst_asn_primary,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
dst_asn_primary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,1.0,1.0,0.9883720930232558,tests whether mismatch persists under high-confidence observations
dst_asn_primary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.5,0.6363636363636364,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
dst_asn_primary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.5714285714285714,0.7272727272727273,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
dst_asn_primary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.5714285714285714,0.7272727272727273,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
dst_asn_primary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.5384615384615384,0.6363636363636364,0.813953488372093,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
geographic_transition_supplementary,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9285714285714286,0.9285714285714286,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
geographic_transition_supplementary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
geographic_transition_supplementary,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
geographic_transition_supplementary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,1.0,1.0,0.9883720930232558,tests whether mismatch persists under high-confidence observations
geographic_transition_supplementary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.6111111111111112,0.7857142857142857,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
geographic_transition_supplementary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.6666666666666666,0.8571428571428571,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
geographic_transition_supplementary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.6666666666666666,0.8571428571428571,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
geographic_transition_supplementary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.6111111111111112,0.7857142857142857,0.8023255813953488,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
probe_target_only,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9166666666666666,0.9166666666666666,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
probe_target_only,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
probe_target_only,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
probe_target_only,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,0.9166666666666666,0.9166666666666666,1.0,tests whether mismatch persists under high-confidence observations
probe_target_only,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.5,0.6666666666666666,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
probe_target_only,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.5,0.6666666666666666,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
probe_target_only,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.5,0.6666666666666666,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
probe_target_only,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.375,0.5,0.813953488372093,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
